split,capture_number,capture_id,uptime_ms,frame_width,frame_height,jpeg_bytes,source_image_path,dataset_image_path
train,1,run_000008_img_1,2338,2048,1536,137428,images/run_000008/shard_0001/run_000008_img_1.jpg,images/train/run_000008_img_1.jpg
train,2,run_000008_img_2,3818,2048,1536,138525,images/run_000008/shard_0001/run_000008_img_2.jpg,images/train/run_000008_img_2.jpg
train,3,run_000008_img_3,4406,2048,1536,134388,images/run_000008/shard_0001/run_000008_img_3.jpg,images/train/run_000008_img_3.jpg
train,4,run_000008_img_4,5340,2048,1536,133168,images/run_000008/shard_0001/run_000008_img_4.jpg,images/train/run_000008_img_4.jpg
train,5,run_000008_img_5,6341,2048,1536,132668,images/run_000008/shard_0001/run_000008_img_5.jpg,images/train/run_000008_img_5.jpg
train,6,run_000008_img_6,7340,2048,1536,134766,images/run_000008/shard_0001/run_000008_img_6.jpg,images/train/run_000008_img_6.jpg
train,7,run_000008_img_7,8338,2048,1536,136460,images/run_000008/shard_0001/run_000008_img_7.jpg,images/train/run_000008_img_7.jpg
train,8,run_000008_img_8,9338,2048,1536,136641,images/run_000008/shard_0001/run_000008_img_8.jpg,images/train/run_000008_img_8.jpg
train,9,run_000008_img_9,10339,2048,1536,136763,images/run_000008/shard_0001/run_000008_img_9.jpg,images/train/run_000008_img_9.jpg
train,10,run_000008_img_10,11340,2048,1536,136820,images/run_000008/shard_0001/run_000008_img_10.jpg,images/train/run_000008_img_10.jpg
train,11,run_000008_img_11,12338,2048,1536,136987,images/run_000008/shard_0001/run_000008_img_11.jpg,images/train/run_000008_img_11.jpg
train,12,run_000008_img_12,13340,2048,1536,136762,images/run_000008/shard_0001/run_000008_img_12.jpg,images/train/run_000008_img_12.jpg
train,13,run_000008_img_13,14340,2048,1536,136955,images/run_000008/shard_0001/run_000008_img_13.jpg,images/train/run_000008_img_13.jpg
train,14,run_000008_img_14,15337,2048,1536,136748,images/run_000008/shard_0001/run_000008_img_14.jpg,images/train/run_000008_img_14.jpg
train,15,run_000008_img_15,16341,2048,1536,136858,images/run_000008/shard_0001/run_000008_img_15.jpg,images/train/run_000008_img_15.jpg
train,16,run_000008_img_16,17339,2048,1536,136800,images/run_000008/shard_0001/run_000008_img_16.jpg,images/train/run_000008_img_16.jpg
train,17,run_000008_img_17,18337,2048,1536,136897,images/run_000008/shard_0001/run_000008_img_17.jpg,images/train/run_000008_img_17.jpg
train,18,run_000008_img_18,19340,2048,1536,136775,images/run_000008/shard_0001/run_000008_img_18.jpg,images/train/run_000008_img_18.jpg
train,19,run_000008_img_19,20337,2048,1536,136681,images/run_000008/shard_0001/run_000008_img_19.jpg,images/train/run_000008_img_19.jpg
train,20,run_000008_img_20,21338,2048,1536,136650,images/run_000008/shard_0001/run_000008_img_20.jpg,images/train/run_000008_img_20.jpg
train,21,run_000008_img_21,22340,2048,1536,136672,images/run_000008/shard_0001/run_000008_img_21.jpg,images/train/run_000008_img_21.jpg
train,22,run_000008_img_22,23339,2048,1536,136544,images/run_000008/shard_0001/run_000008_img_22.jpg,images/train/run_000008_img_22.jpg
train,23,run_000008_img_23,24551,2048,1536,136527,images/run_000008/shard_0001/run_000008_img_23.jpg,images/train/run_000008_img_23.jpg
train,24,run_000008_img_24,25360,2048,1536,136365,images/run_000008/shard_0001/run_000008_img_24.jpg,images/train/run_000008_img_24.jpg
train,25,run_000008_img_25,26341,2048,1536,136353,images/run_000008/shard_0001/run_000008_img_25.jpg,images/train/run_000008_img_25.jpg
train,26,run_000008_img_26,27342,2048,1536,136283,images/run_000008/shard_0001/run_000008_img_26.jpg,images/train/run_000008_img_26.jpg
train,27,run_000008_img_27,28338,2048,1536,136253,images/run_000008/shard_0001/run_000008_img_27.jpg,images/train/run_000008_img_27.jpg
train,28,run_000008_img_28,29340,2048,1536,136244,images/run_000008/shard_0001/run_000008_img_28.jpg,images/train/run_000008_img_28.jpg
train,29,run_000008_img_29,30337,2048,1536,135955,images/run_000008/shard_0001/run_000008_img_29.jpg,images/train/run_000008_img_29.jpg
train,30,run_000008_img_30,31339,2048,1536,135908,images/run_000008/shard_0001/run_000008_img_30.jpg,images/train/run_000008_img_30.jpg
train,31,run_000008_img_31,32340,2048,1536,135843,images/run_000008/shard_0001/run_000008_img_31.jpg,images/train/run_000008_img_31.jpg
train,32,run_000008_img_32,33339,2048,1536,135686,images/run_000008/shard_0001/run_000008_img_32.jpg,images/train/run_000008_img_32.jpg
train,33,run_000008_img_33,34340,2048,1536,135573,images/run_000008/shard_0001/run_000008_img_33.jpg,images/train/run_000008_img_33.jpg
train,34,run_000008_img_34,35338,2048,1536,135536,images/run_000008/shard_0001/run_000008_img_34.jpg,images/train/run_000008_img_34.jpg
train,35,run_000008_img_35,36342,2048,1536,135343,images/run_000008/shard_0001/run_000008_img_35.jpg,images/train/run_000008_img_35.jpg
train,36,run_000008_img_36,37338,2048,1536,135312,images/run_000008/shard_0001/run_000008_img_36.jpg,images/train/run_000008_img_36.jpg
train,37,run_000008_img_37,38339,2048,1536,135281,images/run_000008/shard_0001/run_000008_img_37.jpg,images/train/run_000008_img_37.jpg
train,38,run_000008_img_38,39337,2048,1536,134987,images/run_000008/shard_0001/run_000008_img_38.jpg,images/train/run_000008_img_38.jpg
train,39,run_000008_img_39,40337,2048,1536,134802,images/run_000008/shard_0001/run_000008_img_39.jpg,images/train/run_000008_img_39.jpg
train,40,run_000008_img_40,41340,2048,1536,134653,images/run_000008/shard_0001/run_000008_img_40.jpg,images/train/run_000008_img_40.jpg
train,41,run_000008_img_41,42339,2048,1536,134513,images/run_000008/shard_0001/run_000008_img_41.jpg,images/train/run_000008_img_41.jpg
train,42,run_000008_img_42,43339,2048,1536,134356,images/run_000008/shard_0001/run_000008_img_42.jpg,images/train/run_000008_img_42.jpg
train,43,run_000008_img_43,44338,2048,1536,134336,images/run_000008/shard_0001/run_000008_img_43.jpg,images/train/run_000008_img_43.jpg
train,44,run_000008_img_44,45339,2048,1536,134197,images/run_000008/shard_0001/run_000008_img_44.jpg,images/train/run_000008_img_44.jpg
train,45,run_000008_img_45,46583,2048,1536,134096,images/run_000008/shard_0001/run_000008_img_45.jpg,images/train/run_000008_img_45.jpg
train,46,run_000008_img_46,47842,2048,1536,133945,images/run_000008/shard_0001/run_000008_img_46.jpg,images/train/run_000008_img_46.jpg
train,47,run_000008_img_47,48562,2048,1536,133910,images/run_000008/shard_0001/run_000008_img_47.jpg,images/train/run_000008_img_47.jpg
train,48,run_000008_img_48,49338,2048,1536,133847,images/run_000008/shard_0001/run_000008_img_48.jpg,images/train/run_000008_img_48.jpg
train,49,run_000008_img_49,50341,2048,1536,133833,images/run_000008/shard_0001/run_000008_img_49.jpg,images/train/run_000008_img_49.jpg
train,50,run_000008_img_50,51340,2048,1536,133728,images/run_000008/shard_0001/run_000008_img_50.jpg,images/train/run_000008_img_50.jpg
train,51,run_000008_img_51,52341,2048,1536,133668,images/run_000008/shard_0001/run_000008_img_51.jpg,images/train/run_000008_img_51.jpg
train,52,run_000008_img_52,53337,2048,1536,133547,images/run_000008/shard_0001/run_000008_img_52.jpg,images/train/run_000008_img_52.jpg
train,53,run_000008_img_53,54341,2048,1536,133635,images/run_000008/shard_0001/run_000008_img_53.jpg,images/train/run_000008_img_53.jpg
train,54,run_000008_img_54,55341,2048,1536,133403,images/run_000008/shard_0001/run_000008_img_54.jpg,images/train/run_000008_img_54.jpg
train,55,run_000008_img_55,56341,2048,1536,133485,images/run_000008/shard_0001/run_000008_img_55.jpg,images/train/run_000008_img_55.jpg
train,56,run_000008_img_56,57339,2048,1536,133540,images/run_000008/shard_0001/run_000008_img_56.jpg,images/train/run_000008_img_56.jpg
train,57,run_000008_img_57,58340,2048,1536,133429,images/run_000008/shard_0001/run_000008_img_57.jpg,images/train/run_000008_img_57.jpg
train,58,run_000008_img_58,59338,2048,1536,133232,images/run_000008/shard_0001/run_000008_img_58.jpg,images/train/run_000008_img_58.jpg
train,59,run_000008_img_59,60341,2048,1536,133167,images/run_000008/shard_0001/run_000008_img_59.jpg,images/train/run_000008_img_59.jpg
train,60,run_000008_img_60,61337,2048,1536,133099,images/run_000008/shard_0001/run_000008_img_60.jpg,images/train/run_000008_img_60.jpg
train,61,run_000008_img_61,62337,2048,1536,133056,images/run_000008/shard_0001/run_000008_img_61.jpg,images/train/run_000008_img_61.jpg
train,62,run_000008_img_62,63339,2048,1536,132991,images/run_000008/shard_0001/run_000008_img_62.jpg,images/train/run_000008_img_62.jpg
train,63,run_000008_img_63,64338,2048,1536,132727,images/run_000008/shard_0001/run_000008_img_63.jpg,images/train/run_000008_img_63.jpg
train,64,run_000008_img_64,65337,2048,1536,132661,images/run_000008/shard_0001/run_000008_img_64.jpg,images/train/run_000008_img_64.jpg
train,65,run_000008_img_65,66341,2048,1536,132596,images/run_000008/shard_0001/run_000008_img_65.jpg,images/train/run_000008_img_65.jpg
train,66,run_000008_img_66,67337,2048,1536,132433,images/run_000008/shard_0001/run_000008_img_66.jpg,images/train/run_000008_img_66.jpg
train,67,run_000008_img_67,68340,2048,1536,132384,images/run_000008/shard_0001/run_000008_img_67.jpg,images/train/run_000008_img_67.jpg
train,68,run_000008_img_68,69339,2048,1536,132383,images/run_000008/shard_0001/run_000008_img_68.jpg,images/train/run_000008_img_68.jpg
train,69,run_000008_img_69,70338,2048,1536,132361,images/run_000008/shard_0001/run_000008_img_69.jpg,images/train/run_000008_img_69.jpg
train,70,run_000008_img_70,71338,2048,1536,132390,images/run_000008/shard_0001/run_000008_img_70.jpg,images/train/run_000008_img_70.jpg
train,71,run_000008_img_71,72663,2048,1536,132222,images/run_000008/shard_0001/run_000008_img_71.jpg,images/train/run_000008_img_71.jpg
train,72,run_000008_img_72,73473,2048,1536,132187,images/run_000008/shard_0001/run_000008_img_72.jpg,images/train/run_000008_img_72.jpg
train,73,run_000008_img_73,74338,2048,1536,132202,images/run_000008/shard_0001/run_000008_img_73.jpg,images/train/run_000008_img_73.jpg
train,74,run_000008_img_74,75337,2048,1536,132051,images/run_000008/shard_0001/run_000008_img_74.jpg,images/train/run_000008_img_74.jpg
train,75,run_000008_img_75,76341,2048,1536,132001,images/run_000008/shard_0001/run_000008_img_75.jpg,images/train/run_000008_img_75.jpg
train,76,run_000008_img_76,77341,2048,1536,131914,images/run_000008/shard_0001/run_000008_img_76.jpg,images/train/run_000008_img_76.jpg
train,77,run_000008_img_77,78338,2048,1536,131936,images/run_000008/shard_0001/run_000008_img_77.jpg,images/train/run_000008_img_77.jpg
train,78,run_000008_img_78,79340,2048,1536,131925,images/run_000008/shard_0001/run_000008_img_78.jpg,images/train/run_000008_img_78.jpg
train,79,run_000008_img_79,80340,2048,1536,131865,images/run_000008/shard_0001/run_000008_img_79.jpg,images/train/run_000008_img_79.jpg
train,80,run_000008_img_80,81337,2048,1536,131860,images/run_000008/shard_0001/run_000008_img_80.jpg,images/train/run_000008_img_80.jpg
train,81,run_000008_img_81,82339,2048,1536,131872,images/run_000008/shard_0001/run_000008_img_81.jpg,images/train/run_000008_img_81.jpg
